1,Land Ends Trail,San Francisco,680 Point Lobos Ave San Francisco CA 94121,3.5,Loop,37.784612,-122.507875,static/img/trail/1.jpg
2,Mount Sutro Loop,San Francisco,Inner Sunset Twin Peaks San Francisco CA 94114,2.0,Loop,37.754556,-122.445984,static/img/trail/2.jpg
3,Battery to Bluffs Trail,San Francisco,Langdon Court/Battery Godfrey San Francisco CA 94123,2.3,Loop,37.796666,-122.479505,static/img/trail/3.jpg
4,Fort Point Baker Beach Coast Trail,San Francisco,1504 Pershing Dr San Francisco CA 94129,4.2,Out & back,37.793282,-122.483214,
5,Golden Gate Bridge from Baker Beach Trail,San Francisco,1504 Pershing Dr San Francisco CA 94129,6.3,Out & Back,37.793282,-122.483214,static/img/trail/5.jpg
6,Fort Funston Trail,San Francisco,Fort Funston Rd San Francisco CA 94132,1.9,Loop,37.719007,-122.500595,static/img/trail/6.jpg
7,Presidio Promenade Trail,San Francisco,Presidio National Park San Francisco CA 94129,4.5,Loop,37.800491,-122.448346,static/img/trail/7.jpg
8,Golden Gate Park Trail,San Francisco,Lincoln Way & 7th Ave San Francisco CA 94122,6.1,Loop,37.766271,-122.464189,static/img/trail/8.jpg
9,Mount Davidson Trail,San Francisco,14 Dalewood Way San Francisco CA 94127,1.5,Loop,37.738323,-122.453437,static/img/trail/9.jpg
10,Bernal Heights Park Trail,San Francisco,3400-3416 Folsom St San Francisco CA 94110,1,Loop,37.743151,-122.413058,static/img/trail/10.jpg
